"Age","MonthlySalary","TotalAsset","TotalRequired","NumberInstallments","Risk"
66,1055,126234,276426,165,100
65,4652,811909,130319,36,100
15,5588,965966,135288,256,100
63,1890,792525,386090,345,100
66,1526,261451,14495,255,22.8571428571429
79,18357,27431,96550,169,52.9105570762743
80,19049,996731,202138,17,100
50,1618,845525,30931,55,100
50,16482,14723,178694,296,45.8250203726829
90,5579,927049,289200,117,100
3,5903,536930,368328,150,100
41,12496,352523,245993,19,100
74,18190,755850,51358,190,26.6666666666667
60,12546,918510,389814,57,100
46,8054,232639,146096,140,20.9402037016756
14,18398,659208,97256,68,100
19,16670,325364,35303,323,0.476190476190482
59,11676,715507,192832,44,100
55,8218,611763,209439,103,37.4806143122932
67,14644,564113,371395,279,23.3333333333333
66,1356,392652,192713,93,100
25,12902,413717,59055,270,3.33333333333333
30,9211,667757,161429,132,13.9415972051992
58,13075,824121,162506,200,19.0476190476191
42,14625,769840,394396,321,11.4285714285714
100,4199,929456,398944,191,100
10,6959,905098,314633,178,100
82,1653,101729,17548,28,100
61,8944,567094,228540,280,20.4761904761905
27,3856,791593,10948,271,4.28571428571429
21,6182,754992,317824,311,14.5976838933318
56,2328,687175,310269,249,100
12,12657,707810,40972,295,100
76,10909,49669,331795,6,100
88,18844,336119,182874,47,100
51,14132,361628,383259,32,100
51,2199,113076,313793,340,100
31,4942,881947,7491,228,6.19047619047619
46,13709,203505,163167,182,13.3333333333333
48,7132,128983,96152,218,14.2857142857143
53,8690,527644,97777,228,16.6666666666667
21,13893,334900,272424,102,17.4226835479148
76,9617,18069,24876,46,36.740288976179
30,205,519313,212614,138,100
75,19484,105377,190481,316,42.0356810990522
34,11761,250800,203287,137,14.5323114611362
19,9492,461052,168331,75,19.7122986994728
80,4266,935347,27535,317,29.5238095238095
21,18794,267981,105328,37,12.7551575848325
70,8081,797400,124328,178,24.7619047619048
33,4956,817253,200659,81,100
12,17464,900747,183560,110,100
68,1563,724041,335917,129,100
44,19132,544449,266365,23,100
8,2968,747497,220073,203,100
90,4578,225670,149424,276,100
84,15353,536379,177430,125,31.4285714285714
13,7893,720927,196517,35,100
66,7066,795538,244344,327,24.6695876071674
76,17514,814385,142750,55,38.4592110749729
7,18236,868063,378288,313,100
26,16124,471496,141587,193,3.80952380952381
83,3191,170176,352125,132,100
40,11163,945686,181778,298,10.4761904761905
64,13365,215776,321720,178,41.5664760247006
51,18126,192395,248831,342,23.2744369816117
94,9020,433892,367606,132,100
11,18905,963932,128203,268,100
11,18367,746778,290212,249,100
68,15653,584613,337941,37,100
23,15750,892474,179507,149,2.38095238095237
54,14677,858177,62861,285,17.1428571428572
89,3217,473990,127769,343,100
6,3881,472566,338898,348,100
67,14072,46456,365157,13,100
71,19828,867226,814,125,25.2380952380952
59,19507,265436,236595,48,100
85,5643,686486,124245,192,36.1703661544299
86,10722,77011,149557,149,48.5500384150397
67,7564,910874,286194,293,30.8537332485424
14,13004,89967,342800,210,100
33,9433,290255,332295,242,21.7941358761112
71,4757,870001,30590,192,25.2380952380952
91,12027,43261,68334,258,100
99,12913,730985,5243,16,100
58,19769,289396,267893,328,19.0476190476191
85,2721,34165,93031,249,62.0538878233625
67,1056,496328,371139,315,100
5,11396,819909,276264,104,100
35,4706,465427,23811,301,8.09523809523809
20,5103,16132,252141,220,50.6446827464829
67,14512,558584,9494,220,23.3333333333333
73,5398,110852,214206,228,56.4550501675512
47,11600,741819,355164,191,26.3487075856573
73,105,348115,369638,168,100
13,19990,801421,275182,281,100
20,2097,747782,359105,291,100
31,5617,700420,120731,174,12.5393564835796
65,13459,298630,310632,308,23.6688643367929
26,12647,890124,293448,102,22.4895625216636
5,14986,210443,153036,331,100
77,6373,124257,247826,317,50.8761273750823
34,9563,614935,269036,88,100
64,800,29784,380056,295,100
33,5653,62660,385519,33,100
62,10217,647340,398168,310,27.7703572839797
36,14074,181425,9731,163,8.57142857142857
43,12743,114318,242700,223,29.5372299723351
61,16053,360652,24400,86,20.4761904761905
58,17245,806062,308090,240,19.0476190476191
89,12086,997442,304484,271,100
50,2652,123193,64999,84,100
61,15856,549801,327486,55,100
76,4997,61461,326830,164,100
76,13540,276159,271518,104,43.6648837453204
55,8612,240076,341608,259,39.0948522450127
10,9628,288954,206286,62,100
84,14651,597773,210819,212,31.4285714285714
78,7125,553971,326952,218,46.0691040711961
68,18264,36978,323057,4,100
11,5873,982440,354544,77,100
16,2552,791199,72593,81,100
76,2757,334084,8839,42,27.6190476190476
98,8631,489137,228712,177,100
69,8729,600976,322239,112,100
73,6095,325183,5855,278,26.1904761904762
41,7800,815902,20296,304,10.952380952381
58,9773,106032,288872,299,40.1457755552303
68,242,558243,116948,307,100
31,12150,64623,79989,190,12.5938566552901
33,9978,571855,48768,259,7.14285714285715
2,9940,422306,302124,207,100
78,2836,381376,277006,343,100
24,1940,659714,128172,342,18.9355375143223
30,9219,405217,4691,35,5.71428571428571
55,4303,680994,372716,282,100
3,17338,381130,369946,340,100
37,13253,850625,266822,293,9.04761904761905
76,513,379237,81064,273,100
60,5896,762556,226299,165,39.0036191056965
54,13975,520031,64968,16,100
29,19485,37656,300344,180,34.3922207297537
49,14869,416612,195244,92,24.7407346704636
73,15442,770451,224354,10,100
27,10373,417638,160244,207,4.28571428571429
76,4277,316614,372712,236,100
82,6184,697968,103172,94,45.0287176476453
31,7011,473581,32450,199,6.19047619047619
29,14300,701138,201812,304,5.23809523809524
71,18715,710443,6148,168,25.2380952380952
85,7413,490313,297171,249,44.533551389604
95,3793,724242,73262,26,100
77,2827,180391,53739,236,28.0952380952381
99,3930,511869,365077,315,100
28,18020,482168,124858,115,4.76190476190476
54,2530,69169,123698,176,100
75,3714,837931,61611,123,35.7607987441946
32,2029,415266,146596,28,100
32,18980,595450,17926,345,6.66666666666667
31,6178,1666,376831,293,56.6976973762774
51,9365,330109,156916,129,23.3845254179063
57,13168,855897,27538,13,31.1838187232188
90,1586,130428,383978,175,100
84,861,779279,318874,48,100
11,7121,56244,251062,126,100
88,9479,481950,286828,212,100
53,3304,912640,105715,64,100
64,15112,629225,371156,128,37.8659210938899
19,17514,740123,364887,157,8.69034992829482
50,10193,779620,248742,227,17.5645888204684
59,16673,195679,40350,173,19.5238095238095
62,6432,988091,84145,58,39.5074149215215
81,6282,252021,15843,147,30
23,3612,62406,246771,259,100
66,1778,934724,264887,142,100
29,14954,905956,100377,267,5.23809523809524
57,451,105499,293661,258,100
17,3696,781522,130238,286,100
5,9145,962566,100214,109,100
90,7543,715016,399566,37,100
49,15309,696614,107198,107,14.7619047619048
99,15859,336039,320295,355,100
55,4755,6956,369001,35,100
93,17392,795887,89517,184,100
97,19879,453744,41140,329,100
84,2103,133964,166153,299,100
